﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿
1.1.; Настоящие Правила дорожного движения (В дальнейшем – Правила) устанавливают единый порядок дорожного движения на всей территории Российской Федерации(РФ). Другие нормативные акты, касающиеся дорожного движения, должны основываться на требованиях Правил и не противоречить им.</p>  			  			<p><p> Настоящие Правила дорожного движения (В дальнейшем – Правила) устанавливают единый порядок дорожного движения на всей территории Российской Федерации(РФ). Другие нормативные акты, касающиеся дорожного движения, должны основываться на требованиях Правил и не противоречить им.</p>  			  			<p>
1.2.; В Правилах используются следующие основные понятия и термины:</p>  			<p><p> В Правилах используются следующие основные понятия и термины:</p>  			<p>"Автомагистраль"</span> - дорога, обозначенная знаком</p>  			*** дорожный знак  			<p>и имеющая для каждого направления движения проезжие части, отделенные друг от друга разделительной полосой (а при ее отсутствии - дорожным ограждением), без пересечений в одном уровне с другими дорогами, железнодорожными или трамвайными путями, пешеходными или велосипедными дорожками.</p>  			  			<p>"Автопоезд"</span> - механическое транспортное средство, сцепленное с прицепом (прицепами).</p>  			  			<p>"Велосипед"</span> - транспортное средство, кроме инвалидных колясок, которое имеет по крайней мере два колеса и приводится в движение как правило мускульной энергией лиц, находящихся на этом транспортном средстве, в частности при помощи педалей или рукояток, и может также иметь электродвигатель номинальной максимальной мощностью в режиме длительной нагрузки, не превышающей 0,25 кВт, автоматически отключающийся на скорости более 25 км/ч.</p>  			  			<p>"Велосипедист"</span> - лицо, управляющее велосипедом.</p>  			  			<p>"Велосипедная дорожка"</span> - конструктивно отделенный от проезжей части и тротуара элемент дороги (либо отдельная дорога), предназначенный для движения велосипедистов и обозначенный знаком</p>  			*** дорожный знак  			  			<p>"Велосипедная зона"</span> - территория, предназначенная для движения велосипедистов, начало и конец которой обозначены соответственно знаками</p>  			*** дорожный знак  			  			<p>"Водитель"</span> - лицо, управляющее каким-либо транспортным средством, погонщик, ведущий по дороге вьючных, верховых животных или стадо. К водителю приравнивается обучающий вождению.</p>  			  			<p>"Вынужденная остановка"</span> - прекращение движения транспортного средства из-за его технической неисправности или опасности, создаваемой перевозимым грузом, состоянием водителя (пассажира) или появлением препятствия на дороге.</p>  			  			<p>"Гибридный автомобиль"</span> - транспортное средство, имеющее не менее 2 различных преобразователей энергии (двигателей) и 2 различных (бортовых) систем аккумулирования энергии для целей приведения в движение транспортного средства.</p>  			  			<p>"Главная дорога"</span> - дорога, обозначенная знаками</p>  			*** дорожный знак  			<p>по отношению к пересекаемой (примыкающей), или дорога с твердым покрытием (асфальто- и цементобетон, каменные материалы и тому подобное) по отношению к грунтовой, либо любая дорога по отношению к выездам с прилегающих территорий. Наличие на второстепенной дороге непосредственно перед перекрестком участка с покрытием не делает ее равной по значению с пересекаемой.</p>  			  			<p>"Дневные ходовые огни"</span> - внешние световые приборы, предназначенные для улучшения видимости движущегося транспортного средства спереди в светлое время суток.</p>  			  			<p>"Дорога"</span> - обустроенная или приспособленная и используемая для движения транспортных средств полоса земли либо поверхность искусственного сооружения. Дорога включает в себя одну или несколько проезжих частей, а также трамвайные пути, тротуары, обочины и разделительные полосы при их наличии.</p>  			  			<p>"Дорожное движение"</span> - совокупность общественных отношений, возникающих в процессе перемещения людей и грузов с помощью транспортных средств или без таковых в пределах дорог.</p>  			  			<p>"Дорожно-транспортное происшествие"</span> - событие, возникшее в процессе движения по дороге транспортного средства и с его участием, при котором погибли или ранены люди, повреждены транспортные средства, сооружения, грузы либо причинен иной материальный ущерб.</p>  			  			<p>"Железнодорожный переезд"</span> - пересечение дороги с железнодорожными путями на одном уровне.</p>  			  			<p>"Маршрутное транспортное средство"</span> - транспортное средство общего пользования (автобус, троллейбус, трамвай), предназначенное для перевозки по дорогам людей и движущееся по установленному маршруту с обозначенными местами остановок.</p>  			  			<p>"Механическое транспортное средство"</span> - транспортное средство, приводимое в движение двигателем. Термин распространяется также на любые тракторы и самоходные машины.</p>  			  			<p>"Мопед"</span> - двух- или трехколесное механическое транспортное средство, максимальная конструктивная скорость которого не превышает 50 км/ч, имеющее двигатель внутреннего сгорания с рабочим объемом, не превышающим 50 куб. см, или электродвигатель номинальной максимальной мощностью в режиме длительной нагрузки более 0,25 кВт и менее 4 кВт. К мопедам приравниваются квадрициклы, имеющие аналогичные технические характеристики.</p>  			  			<p>"Мотоцикл"</span> - двухколесное механическое транспортное средство с боковым прицепом или без него, рабочий объем двигателя которого (в случае двигателя внутреннего сгорания) превышает 50 куб. см или максимальная конструктивная скорость (при любом двигателе) превышает 50 км/ч. К мотоциклам приравниваются трициклы, а также квадрициклы с мотоциклетной посадкой или рулем мотоциклетного типа, имеющие ненагруженную массу, не превышающую 400 кг (550 кг для транспортных средств, предназначенных для перевозки грузов) без учета массы аккумуляторов (в случае электрических транспортных средств), и максимальную эффективную мощность двигателя, не превышающую 15 кВт.</p>  			  			<p>"Населенный пункт"</span> - застроенная территория, въезды на которую и выезды с которой обозначены знаками</p>  			*** дорожный знак  			  			<p>"Недостаточная видимость"</span> - видимость дороги менее 300 м в условиях тумана, дождя, снегопада и тому подобного, а также в сумерки.</p>  			  			<p>"Обгон"</span> - опережение одного или нескольких транспортных средств, связанное с выездом на полосу (сторону проезжей части), предназначенную для встречного движения, и последующим возвращением на ранее занимаемую полосу (сторону проезжей части).</p>  			  			<p>"Обочина"</span> - элемент дороги, примыкающий непосредственно к проезжей части на одном уровне с ней, отличающийся типом покрытия или выделенный с помощью разметки</p>  			*** дорожный знак  			<p>используемый для движения, остановки и стоянки в соответствии с Правилами.</p>  			  			<p>"Обучающий вождению"</span> - педагогический работник организации, осуществляющей образовательную деятельность и реализующей основные программы профессионального обучения водителей транспортных средств соответствующих категорий и подкатегорий, квалификация которого отвечает квалификационным требованиям, указанным в квалификационных справочниках, и (или) профессиональным стандартам (при наличии), обучающий управлению транспортным средством.</p>  			  			<p>"Обучающийся вождению"</span> - лицо, проходящее в установленном порядке соответствующее профессиональное обучение в организации, осуществляющей образовательную деятельность и реализующей основные программы профессионального обучения водителей транспортных средств соответствующих категорий и подкатегорий, имеющее первоначальные навыки управления транспортным средством и освоившее требования Правил.</p>  			  			<p>"Ограниченная видимость"</span> - видимость водителем дороги в направлении движения, ограниченная рельефом местности, геометрическими параметрами дороги, растительностью, строениями, сооружениями или иными объектами, в том числе транспортными средствами.</p>  			  			<p>"Опасность для движения"</span> - ситуация, возникшая в процессе дорожного движения, при которой продолжение движения в том же направлении и с той же скоростью создает угрозу возникновения дорожно-транспортного происшествия.</p>  			  			<p>"Опасный груз"</span> - вещества, изделия из них, отходы производственной и иной хозяйственной деятельности, которые в силу присущих им свойств могут при перевозке создать угрозу для жизни и здоровья людей, нанести вред окружающей среде, повредить или уничтожить материальные ценности.</p>  			  			<p>"Опережение"</span> - движение транспортного средства со скоростью, большей скорости попутного транспортного средства.</p>  			  			<p>"Организованная перевозка группы детей"</span> - перевозка в автобусе, не относящемся к маршрутному транспортному средству, группы детей численностью 8 и более человек, осуществляемая без их родителей или иных законных представителей.</p>  			  			<p>"Организованная транспортная колонна"</span> - группа из трех и более механических транспортных средств, следующих непосредственно друг за другом по одной и той же полосе движения с постоянно включенными фарами в сопровождении головного транспортного средства с нанесенными на наружные поверхности специальными цветографическими схемами и включенными проблесковыми маячками синего и красного цветов.</p>  			  			<p>"Организованная пешая колонна"</span> - обозначенная в соответствии с пунктом 4.2 Правил группа людей, совместно движущихся по дороге в одном направлении.</p>  			  			<p>"Остановка"</span> - преднамеренное прекращение движения транспортного средства на время до 5 минут, а также на большее, если это необходимо для посадки или высадки пассажиров либо загрузки или разгрузки транспортного средства.</p>  			  			<p>"Островок безопасности"</span> - элемент обустройства дороги, разделяющий полосы движения (в том числе полосы для велосипедистов), а также полосы движения и трамвайные пути, конструктивно выделенный бордюрным камнем над проезжей частью дороги или обозначенный техническими средствами организации дорожного движения и предназначенный для остановки пешеходов при переходе проезжей части дороги. К островку безопасности может относиться часть разделительной полосы, через которую проложен пешеходный переход.</p>  			  			<p>"Парковка (парковочное место)"</span> - специально обозначенное и при необходимости обустроенное и оборудованное место, являющееся в том числе частью автомобильной дороги и (или) примыкающее к проезжей части и (или) тротуару, обочине, эстакаде или мосту либо являющееся частью подэстакадных или подмостовых пространств, площадей и иных объектов улично-дорожной сети, зданий, строений или сооружений и предназначенное для организованной стоянки транспортных средств на платной основе или без взимания платы по решению собственника или иного владельца автомобильной дороги, собственника земельного участка либо собственника соответствующей части здания, строения или сооружения.</p>  			  			<p>"Пассажир"</span> - лицо, кроме водителя, находящееся в транспортном средстве (на нем), а также лицо, которое входит в транспортное средство (садится на него) или выходит из транспортного средства (сходит с него).</p>  			  			<p>"Перекресток"</span> - место пересечения, примыкания или разветвления дорог на одном уровне, ограниченное воображаемыми линиями, соединяющими соответственно противоположные, наиболее удаленные от центра перекрестка начала закруглений проезжих частей. Не считаются перекрестками выезды с прилегающих территорий.</p>  			  			<p>"Перестроение"</span> - выезд из занимаемой полосы или занимаемого ряда с сохранением первоначального направления движения.</p>  			  			<p>"Пешеход"</span> - лицо, находящееся вне транспортного средства на дороге либо на пешеходной или велопешеходной дорожке и не производящее на них работу. К пешеходам приравниваются лица, передвигающиеся в инвалидных колясках, ведущие велосипед, мопед, мотоцикл, везущие санки, тележку, детскую или инвалидную коляску, а также использующие для передвижения роликовые коньки, самокаты и иные аналогичные средства.</p>  			  			<p>"Пешеходная дорожка"</span> - обустроенная или приспособленная для движения пешеходов полоса земли либо поверхность искусственного сооружения, обозначенная знаком</p>  			*** дорожный знак  			  			<p>"Пешеходная зона"</span> - территория, предназначенная для движения пешеходов, начало и конец которой обозначены соответственно знаками</p>  			*** дорожный знак  			  			<p>"Пешеходная и велосипедная дорожка (велопешеходная дорожка)"</span> - конструктивно отделенный от проезжей части элемент дороги (либо отдельная дорога), предназначенный для раздельного или совместного с пешеходами движения велосипедистов и обозначенный знаками</p>  			*** дорожный знак  			  			<p>"Пешеходный переход"</span> - участок проезжей части, трамвайных путей, обозначенный знаками</p>  			*** дорожный знак  			<p>и выделенный для движения пешеходов через дорогу. При отсутствии разметки ширина пешеходного перехода определяется расстоянием между знаками</p>  			*** дорожный знак  			  			<p>"Полоса движения"</span> - любая из продольных полос проезжей части, обозначенная или не обозначенная разметкой и имеющая ширину, достаточную для движения автомобилей в один ряд.</p>  			  			<p>"Полоса для велосипедистов"</span> - полоса проезжей части, предназначенная для движения на велосипедах и мопедах, отделенная от остальной проезжей части горизонтальной разметкой и обозначенная знаком</p>  			*** дорожный знак  			  			<p>"Преимущество (приоритет)"</span> - право на первоочередное движение в намеченном направлении по отношению к другим участникам движения.</p>  			  			<p>"Препятствие"</span> - неподвижный объект на полосе движения (неисправное или поврежденное транспортное средство, дефект проезжей части, посторонние предметы и т.п.), не позволяющий продолжить движение по этой полосе.</p>  			<p>Не является препятствием затор или транспортное средство, остановившееся на этой полосе движения в соответствии с требованиями Правил.</p>  			  			<p>"Прилегающая территория"</span> - территория, непосредственно прилегающая к дороге и не предназначенная для сквозного движения транспортных средств (дворы, жилые массивы, автостоянки, АЗС, предприятия и тому подобное). Движение по прилегающей территории осуществляется в соответствии с настоящими Правилами ПДД 2016.</p>  			  			<p>"Прицеп"</span> - транспортное средство, не оборудованное двигателем и предназначенное для движения в составе с механическим транспортным средством. Термин распространяется также на полуприцепы и прицепы-роспуски.</p>  			  			<p>"Проезжая часть"</span> - элемент дороги, предназначенный для движения безрельсовых транспортных средств.</p>  			  			<p>"Разделительная полоса"</span> - элемент дороги, выделенный конструктивно и (или) с помощью разметки</p>  			*** дорожный знак  			<p>разделяющий смежные проезжие части, а также проезжую часть и трамвайные пути и не предназначенный для движения и остановки транспортных средств.</p>  			  			<p>"Разрешенная максимальная масса"</span> - масса снаряженного транспортного средства с грузом, водителем и пассажирами, установленная предприятием-изготовителем в качестве максимально допустимой. За разрешенную максимальную массу состава транспортных средств, то есть сцепленных и движущихся как одно целое, принимается сумма разрешенных максимальных масс транспортных средств, входящих в состав.</p>  			  			<p>"Регулировщик"</span> - лицо, наделенное в установленном порядке полномочиями по регулированию дорожного движения с помощью сигналов, установленных Правилами, и непосредственно осуществляющее указанное регулирование. Регулировщик должен быть в форменной одежде и (или) иметь отличительный знак и экипировку. К регулировщикам относятся сотрудники полиции и военной автомобильной инспекции, а также работники дорожно-эксплуатационных служб, дежурные на железнодорожных переездах и паромных переправах при исполнении ими своих должностных обязанностей. К регулировщикам также относятся уполномоченные лица из числа работников подразделений транспортной безопасности, исполняющие обязанности по досмотру, дополнительному досмотру, повторному досмотру, наблюдению и (или) собеседованию в целях обеспечения транспортной безопасности, в отношении регулирования дорожного движения на участках автомобильных дорог, определенных постановлением Правительства Российской Федерации от 18 июля 2016 г. № 686 "Об определении участков автомобильных дорог, железнодорожных и внутренних водных путей, вертодромов, посадочных площадок, а также иных обеспечивающих функционирование транспортного комплекса зданий, сооружений, устройств и оборудования, являющихся объектами транспортной инфраструктуры".</p>  			  			<p>"Стоянка"</span> - преднамеренное прекращение движения транспортного средства на время более 5 минут по причинам, не связанным с посадкой или высадкой пассажиров либо загрузкой или разгрузкой транспортного средства.</p>  			  			<p>"Темное время суток"</span> - промежуток времени от конца вечерних сумерек до начала утренних сумерек.</p>  			  			<p>"Транспортное средство"</span> - устройство, предназначенное для перевозки по дорогам людей, грузов или оборудования, установленного на нем.</p>  			  			<p>"Тротуар"</span> - элемент дороги, предназначенный для движения пешеходов и примыкающий к проезжей части или к велосипедной дорожке либо отделенный от них газоном.</p>  			  			<p>"Уступить дорогу (не создавать помех)"</span> - требование, означающее, что участник дорожного движения не должен начинать, возобновлять или продолжать движение, осуществлять какой-либо маневр, если это может вынудить других участников движения, имеющих по отношению к нему преимущество, изменить направление движения или скорость.</p>  			  			<p>"Участник дорожного движения"</span> - лицо, принимающее непосредственное участие в процессе движения в качестве водителя, пешехода, пассажира транспортного средства.</p>  			  			<p>"Школьный автобус"</span> - специализированное транспортное средство (автобус), соответствующее требованиям к транспортным средствам для перевозки детей, установленным законодательством о техническом регулировании, и принадлежащее на праве собственности или на ином законном основании дошкольной образовательной или общеобразовательной организации.</p>  			  			<p>"Электромобиль"</span> - транспортное средство, приводимое в движение исключительно электрическим двигателем и заряжаемое с помощью внешнего источника электроэнергии.</p>  			  			<p>
1.3.; Участники дорожного движения обязаны знать и соблюдать относящиеся к ним требования Правил, сигналов светофоров, знаков и разметки, а также выполнять распоряжения регулировщиков, действующих в пределах предоставленных им прав и регулирующих дорожное движение установленными сигналами.</p>  			  			<p><p> Участники дорожного движения обязаны знать и соблюдать относящиеся к ним требования Правил, сигналов светофоров, знаков и разметки, а также выполнять распоряжения регулировщиков, действующих в пределах предоставленных им прав и регулирующих дорожное движение установленными сигналами.</p>  			  			<p>
1.4.; На дорогах установлено правостороннее движение транспортных средств.</p>  			  			<p><p> На дорогах установлено правостороннее движение транспортных средств.</p>  			  			<p>
1.5.; Участники дорожного движения должны действовать таким образом, чтобы не создавать опасности для движения и не причинять вреда.</p>  			<p>Запрещается повреждать или загрязнять покрытие дорог, снимать, загораживать, повреждать, самовольно устанавливать дорожные знаки, светофоры и другие технические средства организации движения, оставлять на дороге предметы, создающие помехи для движения. Лицо, создавшее помеху, обязано принять все возможные меры для ее устранения, а если это невозможно, то доступными средствами обеспечить информирование участников движения об опасности и сообщить в полицию.</p>  			  			<p><p> Участники дорожного движения должны действовать таким образом, чтобы не создавать опасности для движения и не причинять вреда.</p>  			<p>Запрещается повреждать или загрязнять покрытие дорог, снимать, загораживать, повреждать, самовольно устанавливать дорожные знаки, светофоры и другие технические средства организации движения, оставлять на дороге предметы, создающие помехи для движения. Лицо, создавшее помеху, обязано принять все возможные меры для ее устранения, а если это невозможно, то доступными средствами обеспечить информирование участников движения об опасности и сообщить в полицию.</p>  			  			<p>
1.5(1).; Утратил силу. - Постановление Правительства РФ от 17.05.2014 N 455.</p>  			  			<p><p> Утратил силу. - Постановление Правительства РФ от 17.05.2014 N 455.</p>  			  			<p>
2.1.; Водитель механического транспортного средства обязан:</p>  			  			<p><p> Водитель механического транспортного средства обязан:</p>  			  			<p>
2.1.1.; Иметь при себе и по требованию сотрудников полиции передавать им, для проверки:</p>  			<ul>  				<li>водительское удостоверение или временное разрешение на право управления транспортным средством соответствующей категории или подкатегории;</li>  				<li>регистрационные документы на данное транспортное средство (кроме мопедов), а при наличии прицепа - и на прицеп (кроме прицепов к мопедам);</li>  				<li>в установленных случаях разрешение на осуществление деятельности по перевозке пассажиров и багажа легковым такси, путевой лист, лицензионную карточку и документы на перевозимый груз, а также специальные разрешения, при наличии которых в соответствии с законодательством об автомобильных дорогах и о дорожной деятельности допускается движение по автомобильным дорогам тяжеловесного транспортного средства, крупногабаритного транспортного средства либо транспортного средства, осуществляющего перевозки опасных грузов;</li>  				<li>документ, подтверждающий факт установления инвалидности, в случае управления транспортным средством, на котором установлен опознавательный знак "Инвалид".</li>  			</ul>  			<p>В случаях, прямо предусмотренных законодательством Российской Федерации, иметь и передавать для проверки уполномоченным должностным лицам Федеральной службы по надзору в сфере транспорта карточку допуска на транспортное средство для осуществления международных автомобильных перевозок, путевой лист и документы на перевозимый груз, специальные разрешения, при наличии которых в соответствии с законодательством об автомобильных дорогах и о дорожной деятельности допускается движение по автомобильным дорогам тяжеловесного и (или) крупногабаритного транспортного средства, транспортного средства, осуществляющего перевозки опасных грузов, а также предоставлять транспортное средство для осуществления весового и габаритного контроля.</p>  			  			<p><p> Иметь при себе и по требованию сотрудников полиции передавать им, для проверки:</p>  			<ul>  				<li>водительское удостоверение или временное разрешение на право управления транспортным средством соответствующей категории или подкатегории;</li>  				<li>регистрационные документы на данное транспортное средство (кроме мопедов), а при наличии прицепа - и на прицеп (кроме прицепов к мопедам);</li>  				<li>в установленных случаях разрешение на осуществление деятельности по перевозке пассажиров и багажа легковым такси, путевой лист, лицензионную карточку и документы на перевозимый груз, а также специальные разрешения, при наличии которых в соответствии с законодательством об автомобильных дорогах и о дорожной деятельности допускается движение по автомобильным дорогам тяжеловесного транспортного средства, крупногабаритного транспортного средства либо транспортного средства, осуществляющего перевозки опасных грузов;</li>  				<li>документ, подтверждающий факт установления инвалидности, в случае управления транспортным средством, на котором установлен опознавательный знак "Инвалид".</li>  			</ul>  			<p>В случаях, прямо предусмотренных законодательством Российской Федерации, иметь и передавать для проверки уполномоченным должностным лицам Федеральной службы по надзору в сфере транспорта карточку допуска на транспортное средство для осуществления международных автомобильных перевозок, путевой лист и документы на перевозимый груз, специальные разрешения, при наличии которых в соответствии с законодательством об автомобильных дорогах и о дорожной деятельности допускается движение по автомобильным дорогам тяжеловесного и (или) крупногабаритного транспортного средства, транспортного средства, осуществляющего перевозки опасных грузов, а также предоставлять транспортное средство для осуществления весового и габаритного контроля.</p>  			  			<p>
2.1.1-1.; В случаях, когда обязанность по страхованию своей гражданской ответственности установлена Федеральным законом "Об обязательном страховании гражданской ответственности владельцев транспортных средств", представить по требованию сотрудников полиции, уполномоченных на то в соответствии с законодательством Российской Федерации, для проверки страховой полис обязательного страхования гражданской ответственности владельца транспортного средства. Указанный страховой полис может быть представлен на бумажном носителе, а в случае заключения договора такого обязательного страхования в порядке, установленном пунктом 7.2 статьи 15 указанного Федерального закона, в виде электронного документа или его копии на бумажном носителе.</p>  			  			<p><p> В случаях, когда обязанность по страхованию своей гражданской ответственности установлена Федеральным законом "Об обязательном страховании гражданской ответственности владельцев транспортных средств", представить по требованию сотрудников полиции, уполномоченных на то в соответствии с законодательством Российской Федерации, для проверки страховой полис обязательного страхования гражданской ответственности владельца транспортного средства. Указанный страховой полис может быть представлен на бумажном носителе, а в случае заключения договора такого обязательного страхования в порядке, установленном пунктом 7.2 статьи 15 указанного Федерального закона, в виде электронного документа или его копии на бумажном носителе.</p>  			  			<p>
